address	name	full_name	parent_namespace
EXTERNAL:00000015	SetForegroundWindow	USER32.DLL::SetForegroundWindow	USER32.DLL
EXTERNAL:00000016	cmp	SCCORE.DLL::ScCore::String::cmp	SCCORE.DLL::ScCore::String
EXTERNAL:00000017	cmp	SCCORE.DLL::ScCore::String::cmp	SCCORE.DLL::ScCore::String
EXTERNAL:00000018	operator==	SCCORE.DLL::ScCore::String::operator==	SCCORE.DLL::ScCore::String
EXTERNAL:00000019	operator+=	SCCORE.DLL::ScCore::String::operator+=	SCCORE.DLL::ScCore::String
EXTERNAL:0000001a	operator+=	SCCORE.DLL::ScCore::String::operator+=	SCCORE.DLL::ScCore::String
EXTERNAL:0000001b	operator+=	SCCORE.DLL::ScCore::String::operator+=	SCCORE.DLL::ScCore::String
EXTERNAL:0000001c	operator==	SCCORE.DLL::ScCore::HashTable::operator==	SCCORE.DLL::ScCore::HashTable
EXTERNAL:0000001d	find	SCCORE.DLL::ScCore::HashTable::find	SCCORE.DLL::ScCore::HashTable
EXTERNAL:0000001e	ScAtomicInc	SCCORE.DLL::ScAtomicInc	SCCORE.DLL
EXTERNAL:0000001f	ScAtomicDec	SCCORE.DLL::ScAtomicDec	SCCORE.DLL
EXTERNAL:00000020	~Lock	SCCORE.DLL::ScCore::Lock::~Lock	SCCORE.DLL::ScCore::Lock
EXTERNAL:00000021	acquire	SCCORE.DLL::ScCore::Lock::acquire	SCCORE.DLL::ScCore::Lock
EXTERNAL:00000022	release	SCCORE.DLL::ScCore::Lock::release	SCCORE.DLL::ScCore::Lock
EXTERNAL:00000023	~Refcountable	SCCORE.DLL::ScCore::Refcountable::~Refcountable	SCCORE.DLL::ScCore::Refcountable
EXTERNAL:00000024	release	SCCORE.DLL::ScCore::Refcountable::release	SCCORE.DLL::ScCore::Refcountable
EXTERNAL:00000025	getSuperclass	SCCORE.DLL::ScCore::ClassInfo::getSuperclass	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:00000026	getLanguage	SCCORE.DLL::ScCore::ClassInfo::getLanguage	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:00000027	getState	SCCORE.DLL::ScCore::ClassInfo::getState	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:00000028	getDescription	SCCORE.DLL::ScCore::ClassInfo::getDescription	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:00000029	enumerate	SCCORE.DLL::ScCore::ClassInfo::enumerate	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:0000002a	getServiceInfo	SCCORE.DLL::ScCore::ClassInfo::getServiceInfo	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:0000002b	getStaticServiceInfo	SCCORE.DLL::ScCore::ClassInfo::getStaticServiceInfo	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:0000002c	getStaticServiceInfo	SCCORE.DLL::ScCore::ClassInfo::getStaticServiceInfo	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:0000002d	getSampleCode	SCCORE.DLL::ScCore::ClassInfo::getSampleCode	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:0000002e	getSampleCode	SCCORE.DLL::ScCore::ClassInfo::getSampleCode	SCCORE.DLL::ScCore::ClassInfo
EXTERNAL:0000002f	getDataTypeAsString	SCCORE.DLL::ScCore::TypeInfo::getDataTypeAsString	SCCORE.DLL::ScCore::TypeInfo
EXTERNAL:00000030	getDataClass	SCCORE.DLL::ScCore::TypeInfo::getDataClass	SCCORE.DLL::ScCore::TypeInfo
EXTERNAL:00000031	isCollection	SCCORE.DLL::ScCore::TypeInfo::isCollection	SCCORE.DLL::ScCore::TypeInfo
EXTERNAL:00000032	getValidRange	SCCORE.DLL::ScCore::TypeInfo::getValidRange	SCCORE.DLL::ScCore::TypeInfo
EXTERNAL:00000033	getDefaultValue	SCCORE.DLL::ScCore::TypeInfo::getDefaultValue	SCCORE.DLL::ScCore::TypeInfo
EXTERNAL:00000034	getDescription	SCCORE.DLL::ScCore::TypeInfo::getDescription	SCCORE.DLL::ScCore::TypeInfo
EXTERNAL:00000035	getLanguage	SCCORE.DLL::ScCore::ServiceInfo::getLanguage	SCCORE.DLL::ScCore::ServiceInfo
EXTERNAL:00000036	getState	SCCORE.DLL::ScCore::ServiceInfo::getState	SCCORE.DLL::ScCore::ServiceInfo
EXTERNAL:00000037	getDescription	SCCORE.DLL::ScCore::ServiceInfo::getDescription	SCCORE.DLL::ScCore::ServiceInfo
EXTERNAL:00000038	getTypeInfo2	SCCORE.DLL::ScCore::ServiceInfo::getTypeInfo2	SCCORE.DLL::ScCore::ServiceInfo
EXTERNAL:00000039	getParamCount	SCCORE.DLL::ScCore::ServiceInfo::getParamCount	SCCORE.DLL::ScCore::ServiceInfo
EXTERNAL:0000003a	getParamInfo	SCCORE.DLL::ScCore::ServiceInfo::getParamInfo	SCCORE.DLL::ScCore::ServiceInfo
EXTERNAL:0000003b	getSampleCode	SCCORE.DLL::ScCore::ServiceInfo::getSampleCode	SCCORE.DLL::ScCore::ServiceInfo
EXTERNAL:0000003c	getSampleCode	SCCORE.DLL::ScCore::ServiceInfo::getSampleCode	SCCORE.DLL::ScCore::ServiceInfo
EXTERNAL:0000003d	getLanguage	SCCORE.DLL::ScCore::ParamInfo::getLanguage	SCCORE.DLL::ScCore::ParamInfo
EXTERNAL:0000003e	getState	SCCORE.DLL::ScCore::ParamInfo::getState	SCCORE.DLL::ScCore::ParamInfo
EXTERNAL:0000003f	getName	SCCORE.DLL::ScCore::ParamInfo::getName	SCCORE.DLL::ScCore::ParamInfo
EXTERNAL:00000040	getDescription	SCCORE.DLL::ScCore::ParamInfo::getDescription	SCCORE.DLL::ScCore::ParamInfo
EXTERNAL:00000041	doErase	SCCORE.DLL::ScCore::Variant::doErase	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000042	doSetNumAttrs	SCCORE.DLL::ScCore::Variant::doSetNumAttrs	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000043	doGetDouble	SCCORE.DLL::ScCore::Variant::doGetDouble	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000044	doToString	SCCORE.DLL::ScCore::Variant::doToString	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000045	doIsFinite	SCCORE.DLL::ScCore::Variant::doIsFinite	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000046	doIsNaN	SCCORE.DLL::ScCore::Variant::doIsNaN	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000047	doIsMinus0	SCCORE.DLL::ScCore::Variant::doIsMinus0	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000048	~Variant	SCCORE.DLL::ScCore::Variant::~Variant	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000049	setLiveObject	SCCORE.DLL::ScCore::Variant::setLiveObject	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000004a	setLiveObject	SCCORE.DLL::ScCore::Variant::setLiveObject	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000004b	setNumAttrs	SCCORE.DLL::ScCore::Variant::setNumAttrs	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000004c	getInteger	SCCORE.DLL::ScCore::Variant::getInteger	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000004d	setBool	SCCORE.DLL::ScCore::Variant::setBool	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000004e	setInteger	SCCORE.DLL::ScCore::Variant::setInteger	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000004f	setInteger	SCCORE.DLL::ScCore::Variant::setInteger	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000050	setDouble	SCCORE.DLL::ScCore::Variant::setDouble	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000051	setString	SCCORE.DLL::ScCore::Variant::setString	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000052	setString	SCCORE.DLL::ScCore::Variant::setString	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000053	setString	SCCORE.DLL::ScCore::Variant::setString	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000054	setPoint	SCCORE.DLL::ScCore::Variant::setPoint	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000055	setRect	SCCORE.DLL::ScCore::Variant::setRect	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000056	setFileSpec	SCCORE.DLL::ScCore::Variant::setFileSpec	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000057	setRegExp	SCCORE.DLL::ScCore::Variant::setRegExp	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000058	setArray	SCCORE.DLL::ScCore::Variant::setArray	SCCORE.DLL::ScCore::Variant
EXTERNAL:00000059	setUnitValue	SCCORE.DLL::ScCore::Variant::setUnitValue	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000005a	operator=	SCCORE.DLL::ScCore::Variant::operator=	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000005b	operator==	SCCORE.DLL::ScCore::Variant::operator==	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000005c	compare	SCCORE.DLL::ScCore::Variant::compare	SCCORE.DLL::ScCore::Variant
EXTERNAL:0000005d	~Array	SCCORE.DLL::ScCore::Array::~Array	SCCORE.DLL::ScCore::Array
EXTERNAL:0000005e	operator==	SCCORE.DLL::ScCore::Array::operator==	SCCORE.DLL::ScCore::Array
EXTERNAL:0000005f	setLength	SCCORE.DLL::ScCore::Array::setLength	SCCORE.DLL::ScCore::Array
EXTERNAL:00000060	operator[]	SCCORE.DLL::ScCore::Array::operator[]	SCCORE.DLL::ScCore::Array
EXTERNAL:00000061	~Listener	SCCORE.DLL::ScCore::Listener::~Listener	SCCORE.DLL::ScCore::Listener
EXTERNAL:00000062	getData	SCCORE.DLL::ScCore::Message::getData	SCCORE.DLL::ScCore::Message
EXTERNAL:00000063	LiveObject	SCCORE.DLL::ScCore::LiveObject::LiveObject	SCCORE.DLL::ScCore::LiveObject
